INFO main org.algorithm.impl.WSDLParser3 - Logging initialized.
INFO main org.algorithm.impl.WSDLParser3 - Log4JExample - leaving the constructor ...
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (IntBreakUp) From WSDL (http://webconnect.akbartravelsonline.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (DomBreakUp) From WSDL (http://webconnect.akbartravelsonline.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (FareRulesRequest) From WSDL (http://webconnect.akbartravelsonline.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (InfoInt) From WSDL (http://webconnect.akbartravelsonline.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (Info) From WSDL (http://webconnect.akbartravelsonline.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (DomesticPricingResponse) From WSDL (http://webconnect.akbartravelsonline.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (FlightDomAvailabilityResponse) From WSDL (http://webconnect.akbartravelsonline.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (InternationalPricingResponse) From WSDL (http://webconnect.akbartravelsonline.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (FlightIntAvailabilityResponse) From WSDL (http://webconnect.akbartravelsonline.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (CountryListRequest) From WSDL (http://www.allysoft.ru/XML/Connector.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (CityByNameListRequest) From WSDL (http://www.allysoft.ru/XML/Connector.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (GuestInfo) From WSDL (http://ws1.touricoholidays.com/HotelsService.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (ClientInfo) From WSDL (http://ws1.touricoholidays.com/HotelsService.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (searchForHotel) Matched (SearchHotels) From WSDL (http://ws1.touricoholidays.com/HotelsService.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (GetSPOPageByKey) From WSDL (http://www.capital-tour.ru/AgentServiceEsystemTest/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (t_BaseService) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (r_GetPAFAddressResponse) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (NameItem) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (t_HotelOffer) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (r_GetErrorMessageRequest) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (t_ContractKey) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (t_FacilityInfo) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (r_AvailabilityOverviewRequest) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (t_ReleaseByDate) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (r_GetErrorMessageResponse) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (r_LoginRequest) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (t_ServiceSearchPriceResp) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (t_Error) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (ConnectivityInfo) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (ErrataInfoItem) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (r_GetPAFAddressRequest) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (r_CodeTranslationRequest) From WSDL (http://ult-sun-api.test.delight.be/mainservice/snowapi.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (searchForFlight) Matched (BillingInfo) From WSDL (http://webservice.elsyarres.com/elsyarreswebservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (Room_Type) From WSDL (http://www.webhotelplus.com/hotelmercado_ws/hotelmercado_ws.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (Avail_Class) From WSDL (http://www.webhotelplus.com/hotelmercado_ws/hotelmercado_ws.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (WsLogin) From WSDL (http://www.webhotelplus.com/hotelmercado_ws/hotelmercado_ws.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (ProcBooking_Info) From WSDL (http://www.webhotelplus.com/hotelmercado_ws/hotelmercado_ws.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (Clients) From WSDL (http://www.webhotelplus.com/hotelmercado_ws/hotelmercado_ws.asmx?wsdl
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (FindNearestAddressWithinRadius) From WSDL (http://www.allies-computing.co.uk/WebsoapNearest/Nearest.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (RemoveList) From WSDL (http://www.allies-computing.co.uk/WebsoapNearest/Nearest.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (ListPointsFiltered) From WSDL (http://www.allies-computing.co.uk/WebsoapNearest/Nearest.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (AddPoints) From WSDL (http://www.allies-computing.co.uk/WebsoapNearest/Nearest.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetTownNearestPoint) From WSDL (http://www.allies-computing.co.uk/WebsoapNearest/Nearest.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (ListPoints) From WSDL (http://www.allies-computing.co.uk/WebsoapNearest/Nearest.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (AddPoint) From WSDL (http://www.allies-computing.co.uk/WebsoapNearest/Nearest.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (MultipleDVDAvailability) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (shipCompany) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (MultiDVDBook) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (RoutesRequest) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (bookDVD) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (getDVDAvailability) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (getHotelRoomsByID) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (bookCar) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
